Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,word_count
1274,47,28,3,"No, Harry. Even in the wizarding world, hearing voices isn't a good sign.",13
1280,48,61,3,"Professor, I was wondering if you could tell us aboutthe Chamber of Secrets?",13
1286,48,61,3,Professor? What exactly does legend tell us lies within the Chamber?,11
1289,48,45,3,Yes. Couldn't you tell? McGonagall's worried. All the teachers are.,10
1291,48,45,3,"The Heir of Slytherin has returned to Hogwarts. The question is, who is it?",14
1293,48,45,3,If you're talking about Malfoy.,5
1295,48,45,3,"I heard him. But Malfoy, the Heir of Slytherin?",9
1298,48,45,3,"Even they aren't that thick. But there might be another way. Mind you, it would be difficult. Not to mention, we would be breaking about fifty school rules. And, it'll be dangerous. Very dangerous.",34
1299,49,44,3,"Here it is. 'The Polyjuice Potion.'  'Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.'",24
1303,49,44,3,Exactly. But it's tricky. I've never seen a more complicated potion.,11
1307,49,44,3,I know. But it's the only plan we've got.,9
1316,49,52,3,No! Even with a proper wand it's too risky. You could hit Harry!,13
1337,50,43,3,"You will be able to, won't you?",7
1370,51,46,3,Again? You mean the Chamber of Secrets has been opened before?,11
1372,51,46,3,Maybe. We'll have to wait for the Polyjuice Potion to know for sure.,13
1374,51,46,3,Heh No. No one ever comes in here.,8
1381,51,46,3,She's a little sensitive.,4
1385,51,36,3,Do you think he's all right?,6
1410,52,39,3,You can talk to snakes.,5
1412,52,39,3,"No, they can't. It's not a very common gift, Harry. This is bad.",13
1418,52,39,3,"I don't know, Harry, but it sounded like you were egging the snake on, or something. Harry, listen to me. There's a reason the symbol of Slytherin House is a serpent. Salazar Slytherin was a Parselmouth. He could talk to snakes, too.",42
1421,52,39,3,"He lived a thousand years ago; for all we know, you could be.",13
1450,54,46,3,Everything's set. We just need a bit of who you're changing into.,12
1452,54,46,3,We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.,21
1454,54,46,3,"I've got it all worked out. I filled these with a simple Sleeping Draught. Simple, but powerful. Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs, and put on their uniforms.",40
1456,54,46,3,I've already got mine. Millicent Bulstrodeâ Slytherin- I got this off her robes. I'm going to go check on the Polyjuice Potion. Make sure that Crabbe and Goyle find these.,30
1466,54,46,3,We'll have exactly one hour before we change back into ourselves Add the hairs.,14
1479,54,46,3,I- I don't think I'm going. You go on without me!,11
1481,54,46,3,Just go. You're wasting time!,5
1515,55,46,3,Do you remember me telling you that the Polyjuice Potion was only for human transformations? It was cat's hair I plucked off Millicent Bulstrode's robes. Look at my face.,29
1566,58,45,3,It can't be Hagrid. It just can't be.,8
1569,58,45,3,Look. Hagrid's our friend. Why don't we just go and ask him about it?,14
1579,58,39,3,It had to be a Gryffindor. Nobody else knows our password- unless it wasn't a student.,16
1862,70,36,3,It's good to be back! Congratulations! I can't believe you solved it!,12
